"Genus","Interval","Interval_Top","Ex","Or","ExClass","OrClass","richness","occupancy","Single_occurrence","continents","endemic","MaxLat","MinLat","MinLatRel","MaxLatRel","LatRange","LatRangeRel","AbsLatRange","MeanAbsLat","MeanDepth","MaxDepth","MinDepth","DepthRange","Age","gcd","Order","Family","Pedicle.state","Median.Comm.Rich","Mean.Loc.Depth","MaxLatRange.ever","Prop.Cratonic","North.Hemisphere","Prop.North","PropTrunc","Num_Intervals","IH Spec. Richness","GH Spec. Richness","IH.Num.Inhabitable","GH.Num.Inhabitable","cooling.latrange","cooling.start.latrange","warming.latrange","warming.start.latrange","IH.MaxTemp","IH.MinTemp","IH.TempRange","GH.MaxTemp","GH.MinTemp","GH.TempRange"
"Ptychopleurella",5,448,0,0,"survive","holdover",2,5,0,4,0,70,13,-70,24,94,94,57,29,4,5,3,2,9,7967.37492062869,"Orthida","Hesperorthidae",-Inf,37,3.96891408403036,57,0,1,0.6,0,15,1,0,2,0,12,57,0,79,27.25,0.1,4.65,29.98333333,7.3,4.716666667
"Ptychopleurella",6,447.5,0,0,"survive","holdover",3,8,0,5,0,70,0,-70,24,94,94,70,22,4,5,3,2,9.5,11012.5103396085,"Orthida","Hesperorthidae",-Inf,31.5,3.94466667904168,70,0,1,0.625,0,15,2,0,3,0,12,70,0,90,27.25,0.1,4.65,31.08333333,7.3,4.716666667
"Ptychopleurella",7,447.2,0,0,"survive","holdover",4,10,0,6,0,70,0,-70,24,94,94,70,25,4,5,3,2,9.80000000000001,11012.5103396085,"Orthida","Hesperorthidae",-Inf,19.5,3.8841484212578,70,0,1,0.625,0.125,15,3,1,4,1,29,70,19,90,27.25,0.1,9.591666667,31.08333333,7.3,9.59166667
"Ptychopleurella",8,446.8,0,0,"survive","holdover",4,7,0,5,0,70,0,-70,24,94,94,70,28,4,5,3,2,10.2,8385.88227589945,"Orthida","Hesperorthidae",-Inf,19.5,3.88539501039501,70,0,1,0.666666666666667,0,15,3,1,3,1,29,70,19,90,27.25,0.1,9.591666667,29.98333333,7.3,9.59166667
"Ptychopleurella",9,446.5,0,0,"survive","holdover",5,6,0,4,0,70,13,-70,24,94,94,57,31,4,5,3,2,10.5,7967.37492062869,"Orthida","Hesperorthidae",-Inf,37,3.96582469040096,57,0,1,0.333333333333333,0.111111111111111,15,4,1,2,1,29,57,41,79,27.25,0.1,21.7375,29.98333333,7.3,19.3375
"Punctolira",1,457,1,1,"extinct","origination",1,1,1,1,1,5,1,-5,-1,0,4,4,3,3,3,3,0,0,10,"Pentamerida","Tetralobulidae",-Inf,34,3.86764705882353,4,0,0,0,0,1,1,0,1,0,3,4,0,4,26.79166667,26.79166667,3.08333334,30.79166667,30.79166667,4.68333334
"Qianomena",17,439,0,1,"survive","origination",1,1,1,1,1,9,5,5,9,0,4,4,7,3,3,3,0,0,10,"Strophomenida","Glyptomenidae",-Inf,3,3.66666666666667,4,1,1,1,1,3,0,0,0,0,0,2,0,4,27.025,27.025,2.48333333,31.70833333,31.70833333,3.16666666
"Qianomena",19,437,0,0,"survive","holdover",1,1,0,1,1,6,1,1,6,5,5,5,4,3,3,3,0,2,556.66034322837,"Strophomenida","Glyptomenidae",-Inf,4.5,2.875,5,1,1,1,0,3,1,0,1,0,3,5,0,5,26.85,26.85,3.14166667,31.25,31.25,5.14166667
"Qianomena",20,436,1,0,"extinct","holdover",1,1,0,1,1,6,1,1,6,5,5,5,4,3,3,3,0,3,556.66034322837,"Strophomenida","Glyptomenidae",-Inf,3.5,2.95833333333333,5,1,1,1,0.5,3,1,0,1,0,3,5,0,5,26.85,26.85,3.14166667,31.25,31.25,5.14166667
"Qilianotryma",10,446.3,0,0,"survive","holdover",4,3,0,3,0,31,1,-31,-1,30,30,30,10,4,5,3,2,2.69999999999999,4883.35846030035,"Atrypida","Atrypinidae",-Inf,13.5,3.96,30,0,0,0,0,10,2,0,2,0,14,30,0,30,26.85,23.1375,8.55,31.25,26.7375,7.88333333
